Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps),Temperature (C)
1682990910.8011215,37.871716,-122.263838,5.0,25.2,0
1682990917.5482202,37.871715,-122.263826,4.0,25.2,0
1682990923.4086628,37.871723,-122.26381,4.0,27.2,0
1682990928.8016582,37.871723,-122.263798,4.0,25.2,0
1682990934.2361448,37.871718,-122.263783,4.0,25.4,0
1682990940.5745149,37.871708,-122.263785,5.0,24.0,0
1682990946.0394397,37.871708,-122.263773,4.5,29.2,0
1682990958.4075994,37.871686,-122.263775,4.0,30.8,0
1682990965.9093847,37.87169,-122.263781,4.0,30.4,0
1682990973.0619686,37.8717,-122.26379,4.0,21.4,0
1682990979.1272373,37.8717,-122.263788,4.0,29.0,0
1682990984.6432796,37.871703,-122.263776,4.0,28.8,0
1682990990.1763613,37.871711,-122.263766,3.0,27.8,0
1682990998.8614018,37.87171,-122.263761,3.0,21.2,0
1682991010.50811,37.871708,-122.263753,3.0,25.8,0
1682991016.0686257,37.871713,-122.263751,3.0,25.2,0
1682991021.6625092,37.871703,-122.26375,2.0,29.6,0
1682991028.8181973,37.8717,-122.263745,2.0,25.0,0
1682991034.4165468,37.871705,-122.263735,2.0,28.0,0
1682991040.305484,37.871708,-122.263735,2.0,25.6,0
1682991045.908951,37.871705,-122.263733,2.0,24.4,0
1682991051.5721223,37.871698,-122.263731,2.0,26.2,0
1682991058.0206451,37.871703,-122.263733,2.5,25.4,0
1682991064.6319416,37.871693,-122.263733,3.0,23.4,0
1682991070.3453412,37.871696,-122.263741,3.0,31.0,0
1682991076.0952618,37.871708,-122.26375,3.0,25.0,0
1682991086.7369068,37.871701,-122.263741,3.0,26.0,0
1682991093.6460295,37.871676,-122.263723,4.0,23.4,0
1682991100.6673162,37.871675,-122.263721,3.0,25.6,0
1682991106.4397588,37.871671,-122.263723,3.0,25.8,0
1682991112.2199492,37.871666,-122.263725,3.0,26.0,0
1682991118.7460697,37.871681,-122.263736,2.5,30.6,0
1682991124.480861,37.871691,-122.263743,2.0,25.0,0
1682991130.2300313,37.871691,-122.26375,2.0,24.4,0
1682991135.9750884,37.87169,-122.263746,2.0,27.2,0
1682991141.8326485,37.871688,-122.263738,1.5,30.4,0
1682991147.670885,37.871683,-122.263735,1.0,31.6,0
1682991153.4932876,37.871686,-122.263735,1.0,30.6,0
1682991161.4952557,37.871706,-122.26373,1.0,24.4,0
1682991167.3029976,37.871708,-122.26373,1.0,27.8,0
1682991173.175792,37.871719,-122.263728,1.0,28.4,0
1682991178.9896042,37.871723,-122.263728,1.0,23.8,0
1682991184.804711,37.871723,-122.26373,1.0,28.0,0
1682991192.8615212,37.871734,-122.263738,1.0,26.2,0
1682991199.6418424,37.871741,-122.263735,1.0,26.4,0
1682991205.648822,37.87174,-122.26373,1.0,29.4,0
1682991212.342268,37.871738,-122.263726,2.0,24.6,0
1682991218.328833,37.871721,-122.263745,2.0,23.2,0
1682991224.2221322,37.871721,-122.263731,3.0,31.6,0
1682991230.1255674,37.871711,-122.263738,3.0,28.4,0
1682991236.0619483,37.871708,-122.26374,3.0,29.6,0
1682991242.0019534,37.8717,-122.26375,3.5,30.4,0
1682991247.928505,37.871678,-122.263745,4.0,29.2,0
1682991254.0354052,37.871696,-122.263748,4.0,30.4,0
1682991259.9984503,37.871676,-122.263738,4.0,25.6,0
1682991265.9442036,37.871625,-122.263721,4.0,32.8,0
1682991271.9353027,37.871591,-122.263746,4.0,35.0,0
1682991277.9029968,37.871555,-122.263756,4.0,35.2,0
1682991284.2642703,37.871536,-122.263838,3.0,34.0,0
1682991290.386423,37.871558,-122.263903,3.0,28.6,0
1682991296.435591,37.871573,-122.263996,4.0,38.2,0
1682991303.375872,37.871585,-122.264085,3.5,28.8,0
1682991309.428178,37.871601,-122.26411,4.0,30.4,0
1682991315.4941807,37.871615,-122.264143,4.0,30.2,0
1682991321.6099825,37.87161,-122.264171,4.0,29.6,0
1682991331.1993659,37.871571,-122.264165,4.0,32.2,0
1682991337.2958186,37.871531,-122.264141,4.0,28.6,0
1682991345.2012658,37.871481,-122.264013,4.0,30.0,0
1682991351.7900417,37.871456,-122.263978,4.0,35.8,0
1682991358.7561767,37.871415,-122.263895,4.0,29.2,0
1682991364.9106078,37.871385,-122.263851,4.0,29.2,0
1682991371.109328,37.871346,-122.263828,4.0,33.4,0
1682991378.2490819,37.871325,-122.263805,3.5,27.2,0
1682991384.9133751,37.871328,-122.263788,4.0,35.2,0
1682991391.1655183,37.871325,-122.263795,4.0,33.4,0
1682991397.4304197,37.871323,-122.263805,4.0,25.8,0
1682991404.4563174,37.871318,-122.263851,3.0,24.6,0
1682991410.921105,37.871313,-122.263885,4.0,27.2,0
1682991417.1908376,37.871309,-122.263891,3.0,26.4,0
